# Residuals         
# Time              	p_rgh               	k                   	omega               
221.5899            	2.868557010154e-04	8.197979321242e-06	4.464260301354e-06
221.6052            	2.846134041225e-04	8.183799894893e-06	4.365399953648e-06
221.6205            	2.900983525798e-04	8.110272585688e-06	4.355183595176e-06
221.6358            	2.930199600583e-04	8.147635528570e-06	4.473898352003e-06
221.6511            	2.918961855218e-04	8.023817368757e-06	4.320412643870e-06
221.6664            	2.883197448210e-04	8.124029333674e-06	4.425350956572e-06
221.6817            	2.893779176201e-04	8.138086413366e-06	4.417170873666e-06
221.697             	2.931476151795e-04	8.222051880734e-06	4.382047805380e-06
221.7123            	2.938312422085e-04	8.350164043994e-06	4.369230263715e-06
221.7276            	2.875616918490e-04	8.295855329732e-06	4.432301815811e-06
221.7429            	2.867387809061e-04	8.292340274567e-06	4.345448213428e-06
221.7582            	2.898859158760e-04	8.360109071722e-06	4.379841384330e-06
221.7735            	2.921797148773e-04	8.256204206039e-06	4.406226452774e-06
221.7888            	2.951559494933e-04	8.313274457442e-06	4.358001197163e-06
221.8041            	2.941828512865e-04	8.284551320541e-06	4.391256348959e-06
221.8194            	3.007633202145e-04	8.361239857101e-06	4.484950704996e-06
221.8347            	2.959455480761e-04	8.438383328444e-06	4.498419714005e-06
221.85              	2.970538180219e-04	8.378412177469e-06	4.511844910920e-06
221.8653            	2.993838413081e-04	8.469637348243e-06	4.433493236383e-06
221.8806            	2.965012529433e-04	8.451175486436e-06	4.510994715365e-06
221.8959            	3.025347905168e-04	8.348335104186e-06	4.384924323438e-06
221.9112            	3.037497303245e-04	8.184186815465e-06	4.318794180210e-06
221.9265            	3.022470553180e-04	8.133626146944e-06	4.355993770012e-06
221.9418            	3.031238030943e-04	8.135179925114e-06	4.410940072660e-06
221.9571            	3.015123717962e-04	8.202219403506e-06	4.397078167442e-06
221.9724            	3.046120050028e-04	8.222437318509e-06	4.388676646644e-06
221.9877            	3.027207077370e-04	8.205052113666e-06	4.294546770836e-06
222.003             	3.043309516680e-04	8.125744896543e-06	4.287530942052e-06
222.0183            	3.075890619424e-04	7.985970558178e-06	4.256155699307e-06
222.0336            	3.068026538519e-04	7.988455923467e-06	4.296283022928e-06
222.0489            	3.113506130631e-04	8.011035235933e-06	4.356581856451e-06
222.0642            	3.083499065433e-04	8.022343693758e-06	4.365372874987e-06
222.0795            	3.072562154567e-04	8.235806725829e-06	4.363069545345e-06
222.0948            	3.120726225410e-04	8.324983490593e-06	4.302466061674e-06
