# Motion State      
# Angle Units       : [deg]
# Angular Velocity Units: [rad/s]
# Time              	Centre of rotation	Orientation	Linear velocity	Angular velocity
0.28337             	(-9.983879890052e-02 2.356916886224e-06 -5.408750827390e-02)	(6.873824331029e-05 -5.351449245670e+00 3.781843991223e-05)	(-3.629309469998e-01 -1.492901865113e-05 -3.942816195027e-01)	(-5.779468386359e-05 4.072244092360e-01 -2.979857459351e-06)
0.29337             	(-1.034124386060e-01 2.193887526975e-06 -5.813469346539e-02)	(1.034241185409e-04 -5.577798132296e+00 4.268545919815e-05)	(-3.517969941036e-01 -1.767685319864e-05 -4.151554187946e-01)	(-6.217535205352e-05 3.828822568209e-01 -2.471804163289e-06)
0.30337             	(-1.068711228756e-01 2.005250076789e-06 -6.239629073005e-02)	(1.405695929268e-04 -5.789211073569e+00 4.768115859324e-05)	(-3.399398598140e-01 -2.005063683847e-05 -4.371640341377e-01)	(-6.626668256461e-05 3.550881245887e-01 -2.116768386029e-06)
0.31337             	(-1.102079964271e-01 1.795197990388e-06 -6.688342645961e-02)	(1.799269298761e-04 -5.983734124999e+00 5.288494610489e-05)	(-3.274348504889e-01 -2.195978044173e-05 -4.602631117753e-01)	(-6.979568389391e-05 3.239254192242e-01 -1.947635918972e-06)
0.32337             	(-1.134169103530e-01 1.568715837482e-06 -7.160665256111e-02)	(2.212084699624e-04 -6.159469709859e+00 5.837698152817e-05)	(-3.143479346900e-01 -2.333665013952e-05 -4.843821085236e-01)	(-7.290018392049e-05 2.895074946596e-01 -1.969303795995e-06)
0.33337             	(-1.164923253129e-01 1.329332843915e-06 -7.657564649937e-02)	(2.641433670277e-04 -6.314594947191e+00 6.418307119052e-05)	(-3.007350572854e-01 -2.453994857386e-05 -5.094166791292e-01)	(-7.550476099123e-05 2.519817343756e-01 -2.001574761907e-06)
0.34337             	(-1.194291988207e-01 1.080970380866e-06 -8.179890324772e-02)	(3.083899100794e-04 -6.447380179295e+00 7.032558980375e-05)	(-2.866396442734e-01 -2.513254403600e-05 -5.352346705412e-01)	(-7.744432854761e-05 2.115261654516e-01 -2.258965980080e-06)
0.35337             	(-1.222228580060e-01 8.287292884042e-07 -8.728345125497e-02)	(3.535221761512e-04 -6.556206467869e+00 7.684397293352e-05)	(-2.720921927883e-01 -2.531567445630e-05 -5.616749309078e-01)	(-7.859639324853e-05 1.683492444205e-01 -2.638527459943e-06)
0.36337             	(-1.248688696109e-01 5.748693459854e-07 -9.303456289421e-02)	(3.991426559773e-04 -6.639582995154e+00 8.368456885689e-05)	(-2.571101281823e-01 -2.545631402745e-05 -5.885473969408e-01)	(-7.918710886486e-05 1.226897398001e-01 -2.924235371326e-06)
0.37337             	(-1.273629087306e-01 3.217069074486e-07 -9.905547938080e-02)	(4.448361794311e-04 -6.696163870348e+00 9.077428409519e-05)	(-2.416976957626e-01 -2.517617367992e-05 -6.156359003768e-01)	(-7.893414298546e-05 7.481477359841e-02 -3.284428668397e-06)
0.38337             	(-1.297006321065e-01 7.335523882875e-08 -1.053471606753e-01)	(4.900508083235e-04 -6.724763759158e+00 9.806154368815e-05)	(-2.258469794137e-01 -2.449416004405e-05 -6.427003585271e-01)	(-7.764913400754e-05 2.501767174718e-02 -3.690847156677e-06)
0.39337             	(-1.318775646407e-01 -1.664391077428e-07 -1.119080686723e-01)	(5.341880501445e-04 -6.724371909408e+00 1.054612713767e-04)	(-2.095395274378e-01 -2.346470927026e-05 -6.694812408599e-01)	(-7.536142467113e-05 -2.638548513554e-02 -4.078689135516e-06)
0.40337             	(-1.338890080416e-01 -3.939933419869e-07 -1.187339817613e-01)	(5.766283531274e-04 -6.694164415980e+00 1.128673552972e-04)	(-1.927491527297e-01 -2.204613757856e-05 -6.957013769482e-01)	(-7.196931634504e-05 -7.905855840542e-02 -4.446254408644e-06)
0.41337             	(-1.357299746986e-01 -6.060355919240e-07 -1.258178322451e-01)	(6.167987108371e-04 -6.633514863097e+00 1.201680678501e-04)	(-1.754441786846e-01 -2.036231240885e-05 -7.210687198151e-01)	(-6.773442459165e-05 -1.326483188432e-01 -4.747760416403e-06)
0.42337             	(-1.373951469620e-01 -8.002607311821e-07 -1.331495965423e-01)	(6.541754401279e-04 -6.542002698264e+00 1.272475470817e-04)	(-1.575902739964e-01 -1.848271544277e-05 -7.452841396286e-01)	(-6.256252652006e-05 -1.867893972700e-01 -4.978836876206e-06)
0.43337             	(-1.388788717523e-01 -9.756220757105e-07 -1.407162260809e-01)	(6.882739964488e-04 -6.419419576832e+00 1.339750038424e-04)	(-1.391546840516e-01 -1.658955346291e-05 -7.680417680783e-01)	(-5.667791236552e-05 -2.411064177305e-01 -5.054174838798e-06)
0.44337             	(-1.401751923629e-01 -1.130614412834e-06 -1.485016141120e-01)	(7.186997748776e-04 -6.265773661800e+00 1.402577079161e-04)	(-1.201094380732e-01 -1.440891396169e-05 -7.890358381546e-01)	(-5.016043963255e-05 -2.952190019245e-01 -5.129568260600e-06)
0.45337             	(-1.412779153490e-01 -1.261946229896e-06 -1.564866192058e-01)	(7.449908259559e-04 -6.081291382872e+00 1.460520533349e-04)	(-1.004351591510e-01 -1.185744945087e-05 -8.079651805939e-01)	(-4.268804973875e-05 -3.487456336202e-01 -5.215172112559e-06)
0.46337             	(-1.421807151255e-01 -1.367834375346e-06 -1.646491299835e-01)	(7.668314759000e-04 -5.866416888359e+00 1.513046887259e-04)	(-8.012479614859e-02 -9.320179639160e-06 -8.245369749542e-01)	(-3.508118532570e-05 -4.013078477425e-01 -5.175654761883e-06)
0.47337             	(-1.428772708288e-01 -1.447522392493e-06 -1.729641970635e-01)	(7.840655332387e-04 -5.621808503516e+00 1.559746648349e-04)	(-5.918634451649e-02 -6.617423790239e-06 -8.384764410455e-01)	(-2.706313313875e-05 -4.525364907943e-01 -5.097034182644e-06)
0.48337             	(-1.433614256250e-01 -1.498342054829e-06 -1.814042262474e-01)	(7.964613984758e-04 -5.348332180881e+00 1.600841014235e-04)	(-3.764461470995e-02 -3.546508676775e-06 -8.495293957269e-01)	(-1.863967240845e-05 -5.020759603294e-01 -5.106283672611e-06)
0.49337             	(-1.436273637870e-01 -1.518010426917e-06 -1.899391970360e-01)	(8.039777316317e-04 -5.047052687597e+00 1.637014414229e-04)	(-1.554301769362e-02 -3.871657409912e-07 -8.574647620078e-01)	(-1.045903758115e-05 -5.495878649009e-01 -5.140589557338e-06)
0.50337             	(-1.436698086869e-01 -1.504544097238e-06 -1.985369201012e-01)	(8.065091091964e-04 -4.719222402926e+00 1.669133693691e-04)	(7.054037718463e-03 3.080431676838e-06 -8.620798510240e-01)	(-1.644344024354e-06 -5.947557061207e-01 -5.317899619237e-06)
