# Residuals         
# Time              	p                   	k                   	omega               
21.12337            	4.622702266756e-02	6.020252043310e-07	1.097696073730e-06
21.13337            	4.760784293041e-02	6.092908309650e-07	1.100586514073e-06
21.14337            	4.924417044777e-02	6.160556836340e-07	1.103171824165e-06
21.15337            	5.134601488254e-02	6.223616245306e-07	1.105404974610e-06
21.16337            	5.413064102747e-02	6.279026787758e-07	1.107303540083e-06
21.17337            	4.898628968165e-02	6.329048711645e-07	1.108787262073e-06
21.18337            	4.420808632946e-02	6.369410513886e-07	1.109881543417e-06
21.19337            	4.009200295589e-02	6.400202430503e-07	1.110621488273e-06
21.20337            	3.650981755842e-02	6.421589397081e-07	1.111032012475e-06
21.21337            	3.346129766453e-02	6.438077713056e-07	1.110990715207e-06
21.22337            	3.066720954237e-02	6.447972088718e-07	1.110663899204e-06
21.23337            	2.806514244005e-02	6.454317958341e-07	1.109994092401e-06
21.24337            	2.570226936861e-02	6.457818608579e-07	1.108815611491e-06
21.25337            	2.372359887025e-02	6.456611209868e-07	1.107184493117e-06
21.26337            	2.164800908175e-02	6.449485566500e-07	1.105138048615e-06
21.27337            	1.989762068115e-02	6.434022659980e-07	1.102685172038e-06
21.28337            	1.830136684988e-02	6.412821911230e-07	1.100012197824e-06
21.29337            	1.725517005245e-02	6.383503322227e-07	1.097144442824e-06
21.30337            	1.753564050998e-02	6.350301933080e-07	1.094163571906e-06
21.31337            	1.823644272850e-02	6.314401620335e-07	1.091110875621e-06
21.32337            	1.925748259843e-02	6.276660229612e-07	1.087982357336e-06
21.33337            	2.042804964611e-02	6.238067557150e-07	1.084983952124e-06
21.34337            	2.215049739339e-02	6.198848974314e-07	1.082259248914e-06
21.35337            	2.434787881325e-02	6.157424177217e-07	1.079731513018e-06
21.36337            	2.678147089951e-02	6.111621433136e-07	1.077458052875e-06
21.37337            	2.954360059785e-02	6.061212741065e-07	1.075405735562e-06
21.38337            	3.248531569770e-02	6.007179383422e-07	1.073461974073e-06
21.39337            	3.572071844335e-02	5.947225814211e-07	1.071543679926e-06
21.40337            	3.927883839462e-02	5.881831198782e-07	1.069555787129e-06
21.41337            	4.320596271630e-02	5.813561468776e-07	1.067425155485e-06
21.42337            	4.727499558355e-02	5.741123621397e-07	1.065089171487e-06
21.43337            	5.153499009258e-02	5.665391536882e-07	1.062505839798e-06
21.44337            	5.572363347940e-02	5.588124150242e-07	1.059645617597e-06
21.45337            	5.979533236479e-02	5.510391598593e-07	1.056572353385e-06
21.46337            	6.347564097997e-02	5.434973734858e-07	1.053307394547e-06
21.47337            	6.655376600692e-02	5.363729856530e-07	1.049938778341e-06
21.48337            	6.890325944499e-02	5.299880294003e-07	1.046623568583e-06
21.49337            	7.057630716634e-02	5.251275542721e-07	1.043517738186e-06
21.50337            	7.170320602282e-02	5.227670283686e-07	1.040768815909e-06
21.51337            	7.152576101720e-02	5.222988884186e-07	1.038419522695e-06
21.52337            	7.028139871004e-02	5.242162657371e-07	1.036511145445e-06
21.53337            	6.896203821655e-02	5.284662180248e-07	1.035124105749e-06
21.54337            	6.879868662842e-02	5.339791112638e-07	1.034139381405e-06
21.55337            	6.848692879276e-02	5.399038524722e-07	1.033421738501e-06
21.56337            	6.458347920684e-02	5.460034869099e-07	1.032879132740e-06
21.57337            	5.825884021269e-02	5.520573007974e-07	1.032425184691e-06
21.58337            	5.191802647668e-02	5.580921918954e-07	1.032006192119e-06
21.59337            	4.644215670333e-02	5.639021116784e-07	1.031582476196e-06
21.60337            	4.213605654690e-02	5.694201636545e-07	1.031123195405e-06
21.61337            	3.831547002235e-02	5.744952787386e-07	1.030566199168e-06
21.62337            	3.494595486661e-02	5.788968063409e-07	1.029871668736e-06
21.63337            	3.203480136621e-02	5.826143469967e-07	1.029042770525e-06
21.64337            	2.945986476153e-02	5.854831751381e-07	1.028062324153e-06
21.65337            	2.721915814564e-02	5.875365154851e-07	1.026869118377e-06
21.66337            	2.518449304533e-02	5.886648697474e-07	1.025463651664e-06
21.67337            	2.340618250341e-02	5.888355835726e-07	1.023847280649e-06
21.68337            	2.179259784424e-02	5.880595027034e-07	1.022015702122e-06
21.69337            	2.041462557551e-02	5.864440146602e-07	1.019941653958e-06
21.70337            	1.925012583620e-02	5.839607606678e-07	1.017593340700e-06
21.71337            	1.823285002500e-02	5.806112099678e-07	1.014994343696e-06
21.72337            	1.741272749158e-02	5.766800872584e-07	1.012170521495e-06
21.73337            	1.668368468273e-02	5.721752903902e-07	1.009081964217e-06
21.74337            	1.609947226379e-02	5.673450087036e-07	1.005734889005e-06
21.75337            	1.559101137022e-02	5.622456661717e-07	1.002215897806e-06
21.76337            	1.518001630865e-02	5.568788965620e-07	9.985073353434e-07
21.77337            	1.494097553544e-02	5.513817048152e-07	9.946420013260e-07
21.78337            	1.512524940655e-02	5.458782968982e-07	9.905821746786e-07
21.79337            	1.572567088207e-02	5.406841656323e-07	9.863516320562e-07
21.80337            	1.661392463954e-02	5.359313493794e-07	9.820127193181e-07
21.81337            	1.773904633862e-02	5.314110564159e-07	9.776555601966e-07
21.82337            	1.902926199542e-02	5.270951869449e-07	9.733624165704e-07
21.83337            	2.056538881706e-02	5.228583226101e-07	9.692002078109e-07
21.84337            	2.238075315057e-02	5.187051410760e-07	9.652222235425e-07
21.85337            	2.427097081304e-02	5.147478519335e-07	9.614543063678e-07
21.86337            	2.637563558134e-02	5.109403132176e-07	9.579584670770e-07
21.87337            	2.879683460423e-02	5.072183420530e-07	9.548108631121e-07
