# Residuals         
# Time              	p_rgh               	k                   	omega               
523.2295824006      	4.535890765493e-05	7.562973560470e-07	7.554233783555e-08
523.2325824006      	4.532514954273e-05	7.467334980224e-07	7.467268534926e-08
523.2355824006      	4.556072147569e-05	7.500126137633e-07	7.505653941756e-08
523.2385824006      	4.531070115186e-05	7.481901492902e-07	7.544357293786e-08
523.2415824006      	4.544083611087e-05	7.436143725759e-07	7.548800118227e-08
523.2445824006      	4.547224998976e-05	7.487205417947e-07	7.536803412988e-08
523.2475824006      	4.555521427485e-05	7.502573979619e-07	7.594328943703e-08
523.2505824006      	4.578165004395e-05	7.409786238313e-07	7.549674322372e-08
523.2535824006      	4.570997003522e-05	7.439415714434e-07	7.487619039335e-08
523.2565824006      	4.545790390118e-05	7.541615741614e-07	7.493733923295e-08
523.2595824006      	4.574055793564e-05	7.464698183250e-07	7.522622587885e-08
523.2625824006      	4.561180247992e-05	7.405476421681e-07	7.453680530457e-08
523.2655824006      	4.586761639179e-05	7.472865260359e-07	7.431735916814e-08
523.2685824006      	4.588175891976e-05	7.436827182884e-07	7.572663294723e-08
523.2715824006      	4.583588698011e-05	7.458001380533e-07	7.525025145501e-08
523.2745824006      	4.547819435426e-05	7.447234259840e-07	7.419580258887e-08
523.2775824006      	4.580106940192e-05	7.433674779432e-07	7.391667411640e-08
523.2805824006      	4.574309506290e-05	7.589959683046e-07	7.488154202676e-08
523.2835824006      	4.555495487110e-05	7.544811562837e-07	7.607039385582e-08
523.2865824006      	4.539833376945e-05	7.329954493436e-07	7.599003942348e-08
523.2895824006      	4.540332603229e-05	7.369868602111e-07	7.513085837221e-08
523.2925824006      	4.516447402919e-05	7.509765031714e-07	7.522186317504e-08
523.2955824006      	4.527750139128e-05	7.475728264865e-07	7.556857264773e-08
523.2985824006      	4.548175485823e-05	7.491159675978e-07	7.525521533775e-08
523.3015824006      	4.555613667501e-05	7.481315728029e-07	7.573170199682e-08
523.3045824006      	4.540100294493e-05	7.429195983391e-07	7.580723985851e-08
523.3075824006      	4.563304574503e-05	7.467677354497e-07	7.652769391722e-08
523.3105824006      	4.578507568581e-05	7.432512876383e-07	7.588223022897e-08
523.3135824006      	4.589844770233e-05	7.363092283464e-07	7.486082217900e-08
523.3165824006      	4.592208069891e-05	7.543733756608e-07	7.553202284520e-08
523.3195824006      	4.564592357250e-05	7.588878098587e-07	7.579169109457e-08
523.3225824006      	4.522054160442e-05	7.403246908306e-07	7.892869386687e-08
523.3255824006      	4.511007969699e-05	7.393837326557e-07	7.569748904943e-08
523.3285824006      	4.553051163827e-05	7.505148371611e-07	7.580869688979e-08
523.3315824006      	4.539690951041e-05	7.500321186769e-07	7.464290805206e-08
523.3345824006      	4.539903942697e-05	7.481198762725e-07	7.444409325962e-08
523.3375824006      	4.534782117037e-05	7.440295256120e-07	7.494707501966e-08
