# time              
# Time              	cpu                 	clock               	cpu/step            	clock/step          
436.6773000003      	1.071526027640e+05	111531	3.668428999998e+00	4.000000000000e+00
436.6926000003      	1.071563022670e+05	111534	3.699510999999e+00	3.000000000000e+00
436.7079000003      	1.071599712640e+05	111538	3.669003999996e+00	4.000000000000e+00
436.7232000003      	1.071635970010e+05	111542	3.625744000004e+00	4.000000000000e+00
436.7385000003      	1.071672223830e+05	111545	3.625390000001e+00	3.000000000000e+00
436.7538000003      	1.071708956850e+05	111549	3.673309000005e+00	4.000000000000e+00
436.7691000003      	1.071745740230e+05	111553	3.678346000001e+00	4.000000000000e+00
436.7844000003      	1.071781668750e+05	111556	3.592858999997e+00	3.000000000000e+00
436.7997000003      	1.071818710100e+05	111560	3.704142000002e+00	4.000000000000e+00
436.8150000003      	1.071855354760e+05	111564	3.664472999997e+00	4.000000000000e+00
436.8303000003      	1.071892130870e+05	111567	3.677618999995e+00	3.000000000000e+00
436.8456000003      	1.071928471660e+05	111571	3.634086999999e+00	4.000000000000e+00
436.8609000003      	1.071964517240e+05	111574	3.604565999995e+00	3.000000000000e+00
436.8762000003      	1.072001409200e+05	111578	3.689204000009e+00	4.000000000000e+00
436.8915000003      	1.072037564620e+05	111582	3.615549000009e+00	4.000000000000e+00
436.9068000003      	1.072074857590e+05	111586	3.729305000001e+00	4.000000000000e+00
436.9221000003      	1.072111550410e+05	111589	3.669289000012e+00	3.000000000000e+00
436.9374000003      	1.072148579840e+05	111593	3.702950999999e+00	4.000000000000e+00
436.9527000003      	1.072186215540e+05	111597	3.763577000005e+00	4.000000000000e+00
436.9680000003      	1.072223768150e+05	111601	3.755268000008e+00	4.000000000000e+00
436.9833000003      	1.072260566030e+05	111604	3.679795000004e+00	3.000000000000e+00
436.9986000003      	1.072296994130e+05	111608	3.642817999993e+00	4.000000000000e+00
437.0139000003      	1.072333595610e+05	111612	3.660155000005e+00	4.000000000000e+00
437.0292000003      	1.072371382140e+05	111615	3.778659000003e+00	3.000000000000e+00
437.0445000003      	1.072407826630e+05	111619	3.644457000002e+00	4.000000000000e+00
437.0598000003      	1.072444289590e+05	111623	3.646303999994e+00	4.000000000000e+00
437.0751000003      	1.072480116900e+05	111626	3.582737999997e+00	3.000000000000e+00
437.0904000003      	1.072515986390e+05	111630	3.586957000007e+00	4.000000000000e+00
437.1057000003      	1.072552528850e+05	111633	3.654253000001e+00	3.000000000000e+00
437.1210000003      	1.072588547540e+05	111637	3.601877000008e+00	4.000000000000e+00
437.1363000003      	1.072624646570e+05	111641	3.609908999992e+00	4.000000000000e+00
437.1516000003      	1.072660362800e+05	111644	3.571629999991e+00	3.000000000000e+00
437.1669000003      	1.072696355010e+05	111648	3.599227999992e+00	4.000000000000e+00
437.1822000003      	1.072732892350e+05	111652	3.653742000010e+00	4.000000000000e+00
437.1975000003      	1.072769065330e+05	111655	3.617305000007e+00	3.000000000000e+00
437.2128000003      	1.072806522320e+05	111659	3.745706000002e+00	4.000000000000e+00
437.2281000003      	1.072843002670e+05	111663	3.648042000001e+00	4.000000000000e+00
437.2434000003      	1.072879642220e+05	111666	3.663962999999e+00	3.000000000000e+00
437.2587000003      	1.072916003430e+05	111670	3.636127000005e+00	4.000000000000e+00
437.2740000003      	1.072952178070e+05	111674	3.617471999998e+00	4.000000000000e+00
437.2893000003      	1.072989070500e+05	111677	3.689250999989e+00	3.000000000000e+00
437.3046000003      	1.073025293310e+05	111681	3.622287000006e+00	4.000000000000e+00
437.3199000003      	1.073061159190e+05	111684	3.586596000008e+00	3.000000000000e+00
437.3352000003      	1.073098439230e+05	111688	3.728011999992e+00	4.000000000000e+00
437.3505000003      	1.073134873670e+05	111692	3.643450999996e+00	4.000000000000e+00
437.3658000003      	1.073171089720e+05	111696	3.621612000003e+00	4.000000000000e+00
437.3811000003      	1.073207516450e+05	111699	3.642680000004e+00	3.000000000000e+00
437.3964000003      	1.073245286770e+05	111703	3.777040000001e+00	4.000000000000e+00
437.4117000003      	1.073281451900e+05	111707	3.616521000004e+00	4.000000000000e+00
437.4270000003      	1.073317770690e+05	111710	3.631887000010e+00	3.000000000000e+00
437.4423000003      	1.073354413970e+05	111714	3.664334000001e+00	4.000000000000e+00
437.4576000003      	1.073391081900e+05	111718	3.666799999992e+00	4.000000000000e+00
437.4729000003      	1.073428043260e+05	111721	3.696144000001e+00	3.000000000000e+00
437.4882000003      	1.073464126880e+05	111725	3.608370000002e+00	4.000000000000e+00
437.5035000003      	1.073500224760e+05	111729	3.609796000004e+00	4.000000000000e+00
437.5188000003      	1.073536611290e+05	111732	3.638658999989e+00	3.000000000000e+00
437.5341000003      	1.073572519620e+05	111736	3.590840999997e+00	4.000000000000e+00
437.5494000003      	1.073609800500e+05	111740	3.728096000006e+00	4.000000000000e+00
437.5647000003      	1.073646015280e+05	111743	3.621486000004e+00	3.000000000000e+00
437.5800000003      	1.073684194490e+05	111764	3.817928000004e+00	2.100000000000e+01
437.5953000003      	1.073720380650e+05	111768	3.618621000001e+00	4.000000000000e+00
437.6106000003      	1.073758035750e+05	111772	3.765518000000e+00	4.000000000000e+00
437.6259000003      	1.073793896900e+05	111775	3.586121999993e+00	3.000000000000e+00
437.6412000003      	1.073831039290e+05	111779	3.714244999996e+00	4.000000000000e+00
437.6565000003      	1.073867515240e+05	111783	3.647602999990e+00	4.000000000000e+00
437.6718000003      	1.073904055210e+05	111786	3.654003000003e+00	3.000000000000e+00
437.6871000003      	1.073940277520e+05	111790	3.622237000003e+00	4.000000000000e+00
437.7024000003      	1.073976379090e+05	111794	3.610165000006e+00	4.000000000000e+00
437.7177000003      	1.074012849120e+05	111797	3.647008999993e+00	3.000000000000e+00
437.7330000003      	1.074051170480e+05	111801	3.832144000000e+00	4.000000000000e+00
437.7483000003      	1.074087295600e+05	111805	3.612519999995e+00	4.000000000000e+00
437.7636000003      	1.074124289090e+05	111809	3.699355999997e+00	4.000000000000e+00
437.7789000003      	1.074160395480e+05	111812	3.610646000001e+00	3.000000000000e+00
437.7942000003      	1.074197728460e+05	111816	3.733303999994e+00	4.000000000000e+00
437.8095000003      	1.074234715890e+05	111820	3.698749999996e+00	4.000000000000e+00
437.8248000003      	1.074272528310e+05	111823	3.781250000000e+00	3.000000000000e+00
437.8401000003      	1.074310104770e+05	111827	3.757654000001e+00	4.000000000000e+00
437.8554000003      	1.074348028820e+05	111831	3.792411999995e+00	4.000000000000e+00
437.8707000003      	1.074384130130e+05	111835	3.610138999997e+00	4.000000000000e+00
437.8860000003      	1.074421578570e+05	111838	3.744852000003e+00	3.000000000000e+00
437.9013000003      	1.074457659420e+05	111842	3.608092000009e+00	4.000000000000e+00
437.9166000003      	1.074494578830e+05	111846	3.691949000000e+00	4.000000000000e+00
437.9319000003      	1.074530890010e+05	111849	3.631125000000e+00	3.000000000000e+00
437.9472000003      	1.074567849130e+05	111853	3.695917999998e+00	4.000000000000e+00
437.9625000003      	1.074603938580e+05	111857	3.608952000010e+00	4.000000000000e+00
437.9778000003      	1.074640197920e+05	111860	3.625941999999e+00	3.000000000000e+00
437.9931000003      	1.074676804520e+05	111864	3.660665999996e+00	4.000000000000e+00
438.0084000003      	1.074713155800e+05	111868	3.635135000004e+00	4.000000000000e+00
438.0237000003      	1.074749038240e+05	111871	3.588252000001e+00	3.000000000000e+00
